cd_id,assessed,reason,title,crg
CD001547,Dual,B,Single dose oral paracetamol (acetaminophen) with codeine for postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD001548,Dual,C,Single dose oral ibuprofen for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD001552,Cochrane,B,Surgical versus non-surgical treatment for carpal tunnel syndrome,Neuromuscular Disease Group
CD001561,Dual,B,Multiple risk factor interventions for primary prevention of coronary heart disease,Heart Group
CD001697,Dual,B,Timing of surgery for aneurysmal subarachnoid haemorrhage,Stroke Group
CD001750,Cochrane,B,Gonadotrophin-releasing hormone antagonists for assisted reproductive technology,Gynaecology and Fertility Group
CD001768,Single,B,Follow-up strategies for women treated for early breast cancer,Breast Cancer Group
CD001774,Single,H,Neoadjuvant chemotherapy for locally advanced cervix cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD001792,Single,E,Drug therapy for preventing post-dural puncture headache,"Pain, Palliative and Supportive Care Group"
CD001799,Dual,U,Preoperative radiotherapy for esophageal carcinoma,Upper GI and Pancreatic Diseases Group
CD001832,Single,A,Third generation cephalosporins versus conventional antibiotics for treating acute bacterial meningitis,Acute Respiratory Infections Group
CD001842,Dual,A,Adrenergic drugs for urinary incontinence in adults,Incontinence Group
CD001856,Dual,A,Medical anti-shock trousers (pneumatic anti-shock garments) for circulatory support in patients with trauma,Injuries Group
CD001877,Dual,B,Screening for breast cancer with mammography,Breast Cancer Group
CD001895,Dual,B,Progestogens with or without oestrogen for irregular uterine bleeding associated with anovulation,Gynaecology and Fertility Group
CD001900,Single,A,Remacemide for drug-resistant localization related epilepsy,Epilepsy Group
CD001913,Dual,E,Neonatal screening for sickle cell disease,Cystic Fibrosis and Genetic Disorders Group
CD001924,Dual,B,Lubeluzole for acute ischaemic stroke,Stroke Group
CD002033,Cochrane,A,Nystatin prophylaxis and treatment in severely immunodepressed patients,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD002036,Dual,A,Surgical interventions for early squamous cell carcinoma of the vulva,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD002037,Dual,A,Three vs four drug antiretroviral maintenance regimens for HIV infection,Infectious Diseases Group
CD002038,Single,A,Zidovudine (AZT) versus AZT plus didanosine (ddI) versus AZT plus zalcitabine (ddC) in HIV infected adults,Infectious Diseases Group
CD002039,Dual,C,Immediate versus deferred zidovudine (AZT) in asymptomatic or mildly symptomatic HIV infected adults,Infectious Diseases Group
CD002067,Dual,C,Single dose oral aspirin for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD002070,Dual,A,Intravenous naftidrofuryl for critical limb ischaemia,Vascular Group
CD002087,Dual,B,Tirilazad for acute ischaemic stroke,Stroke Group
CD002101,Single,E,Curative surgery for obstruction from primary left colorectal carcinoma: Primary or staged resection?,Colorectal Cancer Group
CD002119,Dual,B,Spinal manipulation for dysmenorrhoea,Gynaecology and Fertility Group
CD002123,Cochrane,F,Transcutaneous electrical nerve stimulation for primary dysmenorrhoea,Gynaecology and Fertility Group
CD002127,Cochrane,B,Mitoxantrone for multiple sclerosis,Multiple Sclerosis and Rare Diseases of the CNS Group
CD002133,Dual,A,Ticlopidine versus oral anticoagulation for coronary stenting,Heart Group
CD002137,Cochrane,F,Reduced or modified dietary fat for preventing cardiovascular disease,Heart Group
CD002138,Dual,A,Hypothermia to reduce neurological damage following coronary artery bypass surgery,Heart Group
CD002139,Cochrane,F,Chemotherapy for non-small cell lung cancer,Lung Cancer Group
CD002219,Dual,A,Ivermectin for onchocercal eye disease (river blindness),Eyes and Vision Group
CD002224,Cochrane,B,Primary groin irradiation versus primary groin surgery for early vulvar cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD002225,Dual,F,Concomitant chemotherapy and radiation therapy for cancer of the uterine cervix,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD002227,Dual,G,Penicillin for secondary prevention of rheumatic fever,Heart Group
CD002230,Dual,A,Phosphodiesterase III inhibitors for heart failure,Heart Group
CD002248,Cochrane,B,Behavioural interventions for dysmenorrhoea,Gynaecology and Fertility Group
CD002249,Dual,C,Clomiphene and other antioestrogens for ovulation induction in polycystic ovarian syndrome,Gynaecology and Fertility Group
CD002278,Single,F,Fluoride toothpastes for preventing dental caries in children and adolescents,Oral Health Group
CD002282,Single,E,Adhesives for fixed orthodontic brackets,Oral Health Group
CD002286,Cochrane,D,Feverfew for preventing migraine,"Pain, Palliative and Supportive Care Group"
CD002299,Dual,U,Nitrates for achalasia,Upper GI and Pancreatic Diseases Group
CD002300,Single,A,Cisapride treatment for gastro-oesophageal reflux in children,Upper GI and Pancreatic Diseases Group
CD002747,Dual,B,Chemotherapy alone versus endocrine therapy alone for metastatic breast cancer,Breast Cancer Group
CD002748,Single,F,Risk-reducing mastectomy for the prevention of primary breast cancer,Breast Cancer Group
CD002751,Cochrane,B,Active chest compression-decompression for cardiopulmonary resuscitation,Heart Group
CD002760,Dual,B,Single dose oral dihydrocodeine for acute postoperative pain,"Pain, Palliative and Supportive Care Group"
CD002762,Dual,B,Single dose oral piroxicam for acute postoperative pain,"Pain, Palliative and Supportive Care Group"
CD002763,Dual,C,Single dose oral oxycodone and oxycodone plus paracetamol (acetaminophen) for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD002764,Cochrane,D,Surgery for the resolution of symptoms in malignant bowel obstruction in advanced gynaecological and gastrointestinal cancer,"Pain, Palliative and Supportive Care Group"
CD002765,Cochrane,F,Effects of nonsteroidal anti-inflammatory drugs on postoperative renal function in adults with normal renal function,Kidney and Transplant Group
CD002767,Cochrane,B,Elective versus symptomatic intravenous antibiotic therapy for cystic fibrosis,Cystic Fibrosis and Genetic Disorders Group
CD002806,Dual,B,Embryo freezing for preventing ovarian hyperstimulation syndrome,Gynaecology and Fertility Group
CD002807,Cochrane,B,Techniques for surgical retrieval of sperm prior to intra-cytoplasmic sperm injection (ICSI) for azoospermia,Gynaecology and Fertility Group
CD002811,Cochrane,B,Coasting (withholding gonadotrophins) for preventing ovarian hyperstimulation syndrome,Gynaecology and Fertility Group
CD002835,Dual,B,Antiretroviral post-exposure prophylaxis (PEP) for occupational HIV exposure,Infectious Diseases Group
CD002876,Dual,F,Tiotropium for stable chronic obstructive pulmonary disease,Airways Group
CD002901,Cochrane,B,Digitalis for treatment of heart failure in patients in sinus rhythm,Heart Group
CD002918,Dual,E,Cervico-thoracic or lumbar sympathectomy for neuropathic pain and complex regional pain syndrome,"Pain, Palliative and Supportive Care Group"
CD002943,Cochrane,F,Strategies for increasing the participation of women in community breast cancer screening,Breast Cancer Group
CD002980,Dual,A,Acyclovir for treating varicella in otherwise healthy children and adolescents,Acute Respiratory Infections Group
CD002988,Dual,F,Intravenous beta2-agonists for acute asthma in the emergency department,Airways Group
CD002999,Dual,F,Smoking cessation for chronic obstructive pulmonary disease,Airways Group
CD003012,Dual,E,Active placebos versus antidepressants for depression,Common Mental Disorders Group
CD003052,Cochrane,B,Oral versus injectable ovulation induction agents for unexplained subfertility,Gynaecology and Fertility Group
CD003053,Cochrane,A,"Insulin-sensitising drugs (metformin, rosiglitazone, pioglitazone, D-chiro-inositol) for women with polycystic ovary syndrome, oligo amenorrhoea and subfertility",Gynaecology and Fertility Group
CD003057,Dual,B,Hyperbaric oxygen therapy for multiple sclerosis,Multiple Sclerosis and Rare Diseases of the CNS Group
CD003078,Cochrane,B,Double bag or Y-set versus standard transfer systems for continuous ambulatory peritoneal dialysis in end-stage kidney disease,Kidney and Transplant Group
CD003133,Dual,F,Addition of anti-leukotriene agents to inhaled corticosteroids for chronic asthma,Airways Group
CD003139,Single,A,High-dose chemotherapy and autologous bone marrow or stem cell transplantation versus conventional chemotherapy for women with early poor prognosis breast cancer,Breast Cancer Group
CD003140,Cochrane,A,Benzo-pyrones for reducing and controlling lymphoedema of the limbs,Breast Cancer Group
CD003153,Dual,C,D-cycloserine for Alzheimer's disease,Dementia and Cognitive Improvement Group
CD003155,Dual,A,Metrifonate for Alzheimer's disease,Dementia and Cognitive Improvement Group
CD003176,Cochrane,B,Anti-inflammatory treatment for carditis in acute rheumatic fever,Heart Group
CD003178,Single,B,Continuous infusion versus bolus injection of loop diuretics in congestive heart failure,Heart Group
CD003180,Dual,F,Interventions for promoting physical activity,Heart Group
CD003219,Dual,F,Non_surgical treatment (other than steroid injection) for carpal tunnel syndrome,Neuromuscular Disease Group
CD003223,Cochrane,D,Calcitonin for metastatic bone pain,"Pain, Palliative and Supportive Care Group"
CD003230,Dual,E,Horse chestnut seed extract for chronic venous insufficiency,Vascular Group
CD003235,Cochrane,F,Emergency interventions for hyperkalaemia,Kidney and Transplant Group
CD003255,Dual,C,Condom effectiveness in reducing heterosexual HIV transmission,Infectious Diseases Group
CD003264,Cochrane,B,Growth hormone for children with chronic kidney disease,Kidney and Transplant Group
CD003265,Dual,B,Methenamine hippurate for preventing urinary tract infections,Kidney and Transplant Group
CD003266,Dual,C,Recombinant human erythropoietin versus placebo or no treatment for the anaemia of chronic kidney disease in people not requiring dialysis,Kidney and Transplant Group
CD003269,Dual,A,Anticholinergic agents for chronic asthma in adults,Airways Group
CD003292,Single,G,Surgical resection and whole brain radiation therapy versus whole brain radiation therapy alone for single brain metastases,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003293,Cochrane,F,Doxorubicin-based chemotherapy for the palliative treatment of adult patients with locally advanced or metastatic soft tissue sarcoma,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003296,Cochrane,B,Retinoids for preventing the progression of cervical intra-epithelial neoplasia,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003345,Single,E,Systemic administration of local anesthetic agents to relieve neuropathic pain,"Pain, Palliative and Supportive Care Group"
CD003348,Cochrane,D,Patient controlled opioid analgesia versus non-patient controlled opioid analgesia for postoperative pain,"Pain, Palliative and Supportive Care Group"
CD003351,Cochrane,D,Ketamine as an adjuvant to opioids for cancer pain,"Pain, Palliative and Supportive Care Group"
CD003366,Single,A,Taxane-containing regimens for metastatic breast cancer,Breast Cancer Group
CD003374,Cochrane,F,Platinum-containing regimens for metastatic breast cancer,Breast Cancer Group
CD003415,Dual,B,Progesterone for premenstrual syndrome,Gynaecology and Fertility Group
CD003445,Dual,B,Supportive care for patients with gastrointestinal cancer,"Pain, Palliative and Supportive Care Group"
CD003474,Cochrane,F,Bisphosphonates and other bone agents for breast cancer,Breast Cancer Group
CD003550,Cochrane,B,Nonlatex versus latex male condoms for contraception,Fertility Regulation Group
CD003562,Cochrane,F,Phosphodiesterase 5 inhibitors for pulmonary hypertension,Airways Group
CD003584,Single,E,Oral treatments for fungal infections of the skin of the foot,Skin Group
CD003635,Dual,E,Cerebrospinal fluid drainage for thoracic and thoracoabdominal aortic aneurysm repair,Vascular Group
CD003643,Cochrane,F,Immunosuppressant and immunomodulatory treatment for dermatomyositis and polymyositis,Neuromuscular Disease Group
CD003651,Single,A,Vaginal disinfection for preventing mother-to-child transmission of HIV infection,Infectious Diseases Group
CD003672,Dual,F,Cholinesterase inhibitors for dementia with Lewy bodies,Dementia and Cognitive Improvement Group
CD003673,Dual,F,Indomethacin for Alzheimer's disease,Dementia and Cognitive Improvement Group
CD003697,Dual,C,Statins and fibrates for preventing melanoma,Skin Group
CD003712,Cochrane,B,Transmyocardial laser revascularization versus medical therapy for refractory angina,Heart Group
CD003719,Dual,C,Recombinant versus urinary human chorionic gonadotrophin for final oocyte maturation triggering in IVF and ICSI cycles,Gynaecology and Fertility Group
CD003750,Cochrane,F,Interventions for the physical aspects of sexual dysfunction in women following pelvic radiotherapy,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003782,Cochrane,D,Parasympathomimetic drugs for the treatment of salivary gland dysfunction due to radiotherapy,"Pain, Palliative and Supportive Care Group"
CD003836,Dual,B,Bed rest for acute uncomplicated myocardial infarction,Heart Group
CD003859,Single,B,Disclosing to parents newborn carrier status identified by routine blood spot screening,Consumers and Communication Group
CD003867,Dual,B,Single dose dipyrone for acute renal colic pain,"Pain, Palliative and Supportive Care Group"
CD003868,Cochrane,D,Oral morphine for cancer pain,"Pain, Palliative and Supportive Care Group"
CD003870,Single,E,Oxycodone for cancer-related pain,"Pain, Palliative and Supportive Care Group"
CD003876,Dual,E,Fluoridated milk for preventing dental caries,Oral Health Group
CD003884,Single,E,Oxygen therapy for cystic fibrosis,Cystic Fibrosis and Genetic Disorders Group
CD003885,Dual,E,Pneumococcal vaccines for sickle cell disease,Cystic Fibrosis and Genetic Disorders Group
CD003905,Dual,F,Surgical treatment options for carpal tunnel syndrome,Neuromuscular Disease Group
CD003911,Cochrane,B,Short versus long duration infusions of paclitaxel for any advanced adenocarcinoma,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003913,Dual,H,Chemotherapy for high-grade glioma,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003916,Dual,C,Adjuvant radiotherapy for stage I endometrial cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003918,Dual,A,Concomitant hydroxyurea plus radiotherapy versus radiotherapy for carcinoma of the uterine cervix,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD003936,Single,A,Nonoxynol-9 for preventing vaginal acquisition of HIV infection by women from men,Infectious Diseases Group
CD003939,Dual,C,Nonoxynol-9 for preventing vaginal acquisition of sexually transmitted infections by women from men,Sexually Transmitted Infections Group
CD003963,Cochrane,B,Continuous ambulatory peritoneal dialysis (CAPD) versus hospital or home haemodialysis for end-stage renal disease in adults,Kidney and Transplant Group
CD003993,Cochrane,A,Thymic peptides for treatment of cancer patients,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD004001,Single,E,Spinal cord stimulation for non-reconstructable chronic critical leg ischaemia,Vascular Group
CD004031,Dual,F,Ibuprofen for Alzheimer's disease,Dementia and Cognitive Improvement Group
CD004062,Dual,C,Helicobacter pylori eradication therapy vs. antisecretory non-eradication therapy (with or without long-term maintenance antisecretory therapy) for the prevention of recurrent bleeding from peptic ulcer,Upper GI and Pancreatic Diseases Group
CD004111,Dual,E,Totally implantable vascular access devices for cystic fibrosis,Cystic Fibrosis and Genetic Disorders Group
CD004112,Dual,B,Scalpel versus no-scalpel incision for vasectomy,Fertility Regulation Group
CD004121,Cochrane,D,Non-steroidal anti-inflammatory agents to induce regression and prevent the progression of cervical intraepithelial neoplasia,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD004144,Dual,B,In vitro fertilisation versus tubal reanastomosis (sterilisation reversal) for subfertility after tubal sterilisation,Gynaecology and Fertility Group
CD004151,Dual,E,Interventions for replacing missing teeth: dental implants in zygomatic bone for the rehabilitation of the severely deficient edentulous maxilla,Oral Health Group
CD004194,Cochrane,F,"Drugs and pacemakers for vasovagal, carotid sinus and situational syncope",Heart Group
CD004233,Dual,C,Single dose oral celecoxib for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD004234,Single,B,Single dose oral naproxen and naproxen sodium for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD004272,Dual,A,Surgery versus primary endocrine therapy for operable primary breast cancer in elderly women (70 years plus),Breast Cancer Group
CD004276,Dual,B,Endoscopic mucosal resection for early gastric cancer,Upper GI and Pancreatic Diseases Group
CD004308,Dual,B,Single dose oral indometacin for the treatment of acute postoperative pain,"Pain, Palliative and Supportive Care Group"
CD004309,Dual,C,Single dose oral etoricoxib for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD004310,Cochrane,D,Megestrol acetate for treatment of anorexia-cachexia syndrome,"Pain, Palliative and Supportive Care Group"
CD004378,Single,B,Day three versus day two embryo transfer following in vitro fertilization or intracytoplasmic sperm injection,Gynaecology and Fertility Group
CD004386,Dual,C,Antibiotic prophylaxis for bacterial infections in afebrile neutropenic patients following chemotherapy,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD004387,Cochrane,A,Chlorproguanil-dapsone for treating uncomplicated malaria,Infectious Diseases Group
CD004388,Cochrane,A,Human recombinant protein C for severe sepsis and septic shock in adult and paediatric patients,Emergency and Critical Care Group
CD004390,Dual,C,Oral versus intravenous rehydration for treating dehydration due to gastroenteritis in children,Infectious Diseases Group
CD004416,Dual,C,Oral evening primrose oil and borage oil for eczema,Skin Group
CD004465,Dual,G,Danshen (Chinese medicinal herb) preparations for acute myocardial infarction,Heart Group
CD004468,Dual,G,Traditional Chinese herbal products for stable angina,Heart Group
CD004473,Dual,G,Chinese herbal medicine suxiao jiuxin wan for angina pectoris,Heart Group
CD004474,Single,G,Tongxinluo (Tong xin luo or Tong-xin-luo) capsule for unstable angina pectoris,Heart Group
CD004485,Dual,E,Adhesives for fixed orthodontic bands,Oral Health Group
CD004487,Single,F,Paracetamol for pain relief after surgical removal of lower wisdom teeth,Oral Health Group
CD004531,Cochrane,A,Artesunate plus mefloquine versus mefloquine for treating uncomplicated malaria,Infectious Diseases Group
CD004535,Dual,A,"Stavudine, lamivudine and nevirapine combination therapy for treatment of HIV infection and AIDS in adults.",Infectious Diseases Group
CD004561,Single,A,Axillary treatment for operable primary breast cancer,Breast Cancer Group
CD004562,Cochrane,F,LHRH agonists for adjuvant therapy of early breast cancer in premenopausal women,Breast Cancer Group
CD004571,Dual,C,Calcium antagonists for Duchenne muscular dystrophy,Neuromuscular Disease Group
CD004588,Single,F,Percutaneous transluminal coronary angioplasty with stents versus coronary artery bypass grafting for people with stable angina or acute coronary syndromes,Heart Group
CD004596,Dual,E,Drug therapy for symptoms associated with anxiety in adult palliative care patients,"Pain, Palliative and Supportive Care Group"
CD004598,Cochrane,D,Local anaesthetic sympathetic blockade for complex regional pain syndrome,"Pain, Palliative and Supportive Care Group"
CD004602,Dual,C,Single dose oral paracetamol (acetaminophen) for postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD004604,Dual,B,Single dose oral rofecoxib for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD004637,Cochrane,B,Antibiotic prophylaxis for elective hysterectomy,Gynaecology and Fertility Group
CD004747,Dual,F,Cholinesterase inhibitors for Parkinson's disease dementia,Dementia and Cognitive Improvement Group
CD004748,Dual,A,Velnacrine for Alzheimer's disease,Dementia and Cognitive Improvement Group
CD004752,Single,B,Glucocorticoid supplementation during ovarian stimulation for IVF or ICSI,Gynaecology and Fertility Group
CD004753,Single,B,Nonsteroidal anti-inflammatory drugs for pain in women with endometriosis,Gynaecology and Fertility Group
CD004768,Single,B,Single dose oral diclofenac for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD004771,Dual,C,Intravenous or intramuscular parecoxib for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD004832,Dual,C,Aspirin for in vitro fertilisation,Gynaecology and Fertility Group
CD004840,Cochrane,F,Surgery versus radiosurgery for patients with a solitary brain metastasis from non-small cell lung cancer,Lung Cancer Group
CD004844,Cochrane,F,Antipsychotics for acute and chronic pain in adults,"Pain, Palliative and Supportive Care Group"
CD004969,Single,E,Antibiotic use for irreversible pulpitis,Oral Health Group
CD005007,Cochrane,B,Hyperbaric oxygenation for tumour sensitisation to radiotherapy,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD005037,Cochrane,D,"Selenium for alleviating the side effects of chemotherapy, radiotherapy and surgery in cancer patients","Pain, Palliative and Supportive Care Group"
CD005101,Single,E,Slow-release fluoride devices for the control of dental decay,Oral Health Group
CD005138,Dual,A,Antiangiogenic therapy with interferon alfa for neovascular age-related macular degeneration,Eyes and Vision Group
CD005177,Single,E,Interventions for noisy breathing in patients near to death,"Pain, Palliative and Supportive Care Group"
CD005196,Cochrane,B,Combination chemotherapy for primary treatment of high-risk gestational trophoblastic tumour,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD005202,Single,E,Adjuvant chemotherapy for small intestine adenocarcinoma,Colorectal Cancer Group
CD005219,Cochrane,D,Normobaric and hyperbaric oxygen therapy for the treatment and prevention of migraine and cluster headache,"Pain, Palliative and Supportive Care Group"
CD005220,Single,E,Drugs for the acute treatment of migraine in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD005312,Single,G,Hawthorn extract for treating chronic heart failure,Heart Group
CD005313,Dual,A,Primary stenting versus primary balloon angioplasty for treating acute myocardial infarction,Heart Group
CD005339,Cochrane,B,Granulocyte transfusions for treating infections in people with neutropenia or neutrophil dysfunction,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD005341,Cochrane,B,Granulocyte transfusions for preventing infections in people with neutropenia or neutrophil dysfunction,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD005426,Dual,B,Nutritional support for acute kidney injury,Kidney and Transplant Group
CD005434,Dual,C,Electronic mosquito repellents for preventing mosquito bites and malaria infection,Infectious Diseases Group
CD005451,Dual,D,Carbamazepine for chronic neuropathic pain and fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD005454,Cochrane,F,Antidepressants for neuropathic pain,"Pain, Palliative and Supportive Care Group"
CD005476,Cochrane,B,Laetrile treatment for cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD005479,Single,G,Efficacy and safety of cesarean delivery for prevention of mother-to-child transmission of HIV-1,Infectious Diseases Group
CD005482,Dual,A,Structured treatment interruptions (STI) in chronic suppressed HIV infection in adults,Infectious Diseases Group
CD005515,Single,G,Orthodontic and orthopaedic treatment for anterior open bite in children,Oral Health Group
CD005516,Dual,G,Enamel etching for bonding fixed orthodontic braces,Oral Health Group
CD005520,Single,E,Oral appliances and functional orthopaedic appliances for obstructive sleep apnoea in children,Oral Health Group
CD005539,Single,D,Nutritional screening for improving professional practice for patient outcomes in hospital and primary care settings,"Pain, Palliative and Supportive Care Group"
CD005622,Single,E,Intravenous lidocaine for the treatment of background or procedural burn pain,"Pain, Palliative and Supportive Care Group"
CD005637,Single,B,Prophylactic antibiotics for transcervical intrauterine procedures,Gynaecology and Fertility Group
CD005638,Cochrane,A,Hysterectomy versus hysterectomy plus oophorectomy for premenopausal women,Gynaecology and Fertility Group
CD005965,Dual,A,Artemether-lumefantrine (four-dose regimen) for treating uncomplicated falciparum malaria,Infectious Diseases Group
CD005969,Single,E,Magnification devices for endodontic therapy,Oral Health Group
CD005970,Dual,A,Replacement versus repair of defective restorations in adults: amalgam,Oral Health Group
CD005971,Single,E,Replacement versus repair of defective restorations in adults: resin composite,Oral Health Group
CD005972,Single,B,Orthodontic treatment for deep bite and retroclined upper front teeth in children,Oral Health Group
CD005990,Dual,A,Nicobrevin for smoking cessation,Tobacco Addiction Group
CD006011,Cochrane,B,Methods of communicating a primary diagnosis of breast cancer to patients,Breast Cancer Group
